Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
231090,0301-09-,HARRA OF ARHAB,Yemen,Middle East (southern),3100,N,15,36,9,E,44,5,52,15.6025,44.0978
231110,0301-11-,JABAL HAYLAN,Yemen,Middle East (southern),1550,N,15,24,0,E,45,6,0,15.4,45.1
231120,0301-12-,HARRAS OF DHAMAR,Yemen,Middle East (southern),3500,N,14,34,0,E,44,40,0,14.57,44.67
231160,0301-16-,HARRA ES- SAWAD,Yemen,Middle East (southern),1737,N,13,35,0,E,46,7,0,13.58,46.12
231170,0301-17-,BALHAF-BIR ALI VOLCANIC FIELD,Yemen,Middle East (southern),604,N,14,4,0,E,48,18,0,14.067,48.3
231180,0301-18-,BIR BORHUT,Yemen,Middle East (southern),464,N,15,30,56,E,50,56,5,15.515,50.935
232010,0302-01-,DAMAVAND,Iran,Middle East (western),5670,N,35,57,5,E,52,6,34,35.951,52.109
233001,0303-001,LA GRILLE,Comoros,Indian Ocean (western),1087,S,11,28,0,E,43,20,0,-11.47,43.33
233005,0303-010,MAYOTTE,France,Indian Ocean (western),660,S,12,50,0,E,45,10,0,-12.83,45.17
233010,0303-01=,KARTHALA,Comoros,Indian Ocean (western),2361,S,11,45,0,E,43,23,0,-11.75,43.38
233011,0303-011,AMBRE-BOBAOMBY,Madagascar,Indian Ocean (western),1475,S,12,36,0,E,49,9,0,-12.6,49.15
233012,0303-012,NOSY-BE,Madagascar,Indian Ocean (western),214,S,13,19,0,E,48,29,0,-13.32,48.48
233013,0303-013,ANKAIZINA FIELD,Madagascar,Indian Ocean (western),2878,S,14,18,0,E,48,40,0,-14.3,48.67
233014,0303-014,ITASY VOLCANIC FIELD,Madagascar,Indian Ocean (western),1800,S,19,2,0,E,46,42,0,-19.033,46.7
233015,0303-015,VAKINANKARATRA,Madagascar,Indian Ocean (western),2644,S,19,51,0,E,46,56,30,-19.85,46.942
233020,0303-02=,PITON DE LA FOURNAISE,France,Indian Ocean (western),2632,S,21,14,35,E,55,42,27,-21.244,55.708
234000,0304-00-,BOOMERANG SEAMOUNT,France,Indian Ocean (southern),-650,S,37,43,18,E,77,49,20,-37.7216,77.8221
234001,0304-001,AMSTERDAM ISLAND,France,Indian Ocean (southern),881,S,37,50,0,E,77,31,0,-37.83,77.52
234002,0304-002,ST. PAUL,France,Indian Ocean (southern),268,S,38,43,0,E,77,32,0,-38.72,77.53
234010,0304-01=,HEARD,Australia,Indian Ocean (southern),2745,S,53,6,20,E,73,30,45,-53.106,73.513
234011,0304-011,MCDONALD ISLANDS,Australia,Indian Ocean (southern),230,S,53,2,0,E,72,36,0,-53.03,72.6
234020,0304-02=,KERGUELEN ISLANDS,France,Indian Ocean (southern),1840,S,49,35,0,E,69,30,0,-49.58,69.5
234030,0304-03-,ILE DE L EST,France,Indian Ocean (southern),1090,S,46,26,0,E,52,12,0,-46.43,52.2
234040,0304-04-,ILE DE LA POSSESSION,France,Indian Ocean (southern),934,S,46,25,0,E,51,45,0,-46.42,51.75
234050,0304-05-,ILE AUX COCHONS,France,Indian Ocean (southern),775,S,46,6,0,E,50,14,0,-46.1,50.23
